mereka melakukannya!	mereka tidak !
kamu tampak hebat !	simpan untuk nanti. ayo!
tidak terlalu .	Apakah ada yang dapat kami lakukan?
Sudah berapa lama kamu terjaga?	tiga hari .
Saya telah bekerja dalam shift ganda.	uang tambahan ya?
TIDAK . . .	Kamu adiknya kan?
itu freddy.	Cukup omong kosong itu.
Rick tolong.	baiklah, kurasa aku melihat keselamatan. . .
Hei kawan, kami semua minta maaf. . .	dia tahu dia akan mati.
saya tidak mengerti.	Biarkan aku bicara padamu.
t t terima kasih alice . . .	bumi ke alice . . .
apa itu ?	Ya Tuhan! Dia membunuh mereka!
ada yang salah dengan tangga?	hindari semua kontak hari itu.
hindari semua kontak hari itu.	Apa ?
aku harus keluar dari sini.	Kamu diam saja di tempat. Kamu butuh istirahat.
permisi sayang.	tidak apa-apa dan
dimana dia ?	dia ada di dalam dirimu, di tempat dia bersembunyi.
siapa bilang aku tidak menyukaimu?	temanku yang bertangan lucu.
Apakah dia yang kamu tunggu?	TIDAK . . .
Saya turut prihatin dengan pacarmu yang terbunuh.	bagaimana kamu tahu hal itu ?
bukankah seharusnya kamu berada di kamarmu Jacob?	sepi sekali di kamarku.
sepi sekali di kamarku.	nama saya adalah...
kamu benar .	Itu dia. Sayang kamu.
Itu dia. Sayang kamu.	saya juga .
hai cantik.	Ya Tuhan! Jangan lakukan itu!
Ya Tuhan! Jangan lakukan itu!	maaf sayang.
alice !	aku harus pergi.
tapi ayah	Sekarang .
lucu sekali.	...kembali
kemana kita akan pergi ?	untuk mengambil gambar.
Kamu melakukan pekerjaan dengan baik, Alice.	begitu juga dan.
wanita malang...	tidak apa-apa.
mereka pikir aku gila.	Itu masalah mereka.
siapa jacob?	bayiku !
bayiku !	apa yang sudah kamu beri nama?
kalau begitu keluar !	tanda !
Mark, kamu baik-baik saja?	Ya, aku hanya jagoan.
berhenti mengatakan itu omong kosong.	Saya ingin berbicara tentang bayi.
kamu juga ?	Dia mengundangku ke rumahnya tadi malam.
tidak apa-apa .	tetaplah di sini ?
muntah ?	pingsan .
tapi jika mereka melakukannya padamu?	aku tidak tahu .
apa itu ?	Kamu keluar. Ini datang untukmu.
Kamu keluar. Ini datang untukmu.	ayahku! dia bukan?
Sehat ?	aku bersamamu kamu! kamu
di suatu tempat di sana?	penasaran di mana powell dan carney?
penasaran di mana powell dan carney?	Kita harus mencarinya nanti.
kamu mendengarnya?	suaranya lagi?
Ya ?	Dengarkan! dengar itu?
kamu harus membiarkan kami mencoba kapten	kita ?
kapten lintasan apa?	tepat pada teman bermata satu kita!
apakah ada jalan keluarnya ?	tampaknya ada di mana-mana. . .
tampaknya ada di mana-mana. . .	bagaimana dengan ke bawah ?
bagaimana dengan ke bawah ?	aku tidak tahu !
saat kita mendekati kutub...	pasti ada penjelasannya!
langsung ke kutub dengan kecepatan hampir lima puluh knot!	tidak ada yang dapat kita lakukan sekarang.
benar kan kamu padanya?	itulah yang aku katakan!
Berapa lama waktu tayangnya?	tiga puluh empat detik!
dia melakukannya!	Saya khawatir tidak. Oleh karena itu
membengkak!	Temanmu harus tetap di tempatnya!
baiklah aku akan!	aku akan menjadi yang lain!
twombley terlibat?	TIDAK .
apa yang sedang kalian lakukan ?	Itu sama saja.
Saya berencana untuk melakukannya segera.	Seberapa cepat ?
Seberapa cepat ?	musim semi ini.
dia sudah menemukan kita!	Sial! Apa yang akan kita lakukan?
Anda tidak dapat membeli Wade Off.	kami membeli kamu.
kami membeli kamu.	Itu aku.
Anda mendengar beritanya.	Saya dengar Twombley tertembak.
Saya dengar Twombley tertembak.	Ya .
keamanan aktif?	Ya .
Ya .	dengan cara ini .
dengan cara ini .	Matahari mulai tinggi.
Dulu aku bermain bola.	Ya ?
kamu bermain untuk sox?	gandakan a . britain baru .
gandakan a . britain baru .	Oh .
Sungguh .	mereka bilang .
mereka bilang .	Hmm .
jika kamu mendapatkannya?	Ya .
Ya .	Anda mungkin tidak membunuhnya.
Anda mungkin tidak membunuhnya.	kamu pikir begitu.
dan Anda akan mendapatkan seratus dolar ekstra.	luar biasa !
aku akan keluar dari sini.	hukum ?
dimana d twombley tertembak?	di dada.
di dada.	tidak, maksudku dimana.
Orang-orang ambulans membawanya.	kamu menjauh?
kamu menjauh?	Ya .
Ya .	dimana kamu mendapatkan darahnya?
dimana kamu mendapatkan darahnya?	darah apa ?
Tentu saja kamu melakukannya.	Apa ?
Apa ?	melihatnya melakukannya?
bajingan itu menyalakan lampu jauhnya.	Kotoran.
Jill, kumohon, tidak apa-apa. Tidak terjadi apa-apa.	aku ingin pulang ke rumah .
aku ingin pulang ke rumah .	Baiklah kalau begitu ayo kita pulang.
Itu ilegal lho.	Saya tahu .
Saya tahu .	Anda seorang polisi.
Tolong jangan menangis. Tolong sayang.	apa yang kamu minta maaf ?
aku ingin pulang ke rumah .	kamu tak bisa.
Oke .	Bagus .
TIDAK .	lalu apa yang kamu inginkan ?
lalu apa yang kamu inginkan ?	Tidak ada apa-apa .
Itu cukup tua.	itu milik pop.
itu milik pop.	pop ?
pop ?	kakek. ayahku. itu miliknya.
kakek. ayahku. itu miliknya.	Oh .
TIDAK .	tidak apa?
aku menelpon ibu.	Apa? Kamu baru saja menelepon ibu?
Apa? Kamu baru saja menelepon ibu?	Ya .
Ya .	Yesus kenapa?
bukan itu.	lalu bagaimana ?
lalu bagaimana ?	itu bodoh.
itu bodoh.	itu menyenangkan.
mengapa mereka melakukan hal itu ?	melakukan apa?
melakukan apa?	Kamu tahu .
Kamu tahu .	merusak sesuatu?
merusak sesuatu?	ya. itu bodoh.
ya. itu bodoh.	Menurutku mereka bodoh.
apakah itu lucu ?	Bagi kami itu adalah .
Bagi kami itu adalah .	tapi sekarang itu tidak lucu.
Aku yakin kamu melakukan banyak hal buruk.	apa yang sedang kamu bicarakan ?
apa yang sedang kamu bicarakan ?	Aku hanya berpikir kamu dulunya nakal.
saya melihat Mel Gordon di sini pagi ini.	Jadi ?
aku tidak akan. kamu tertarik?	Mungkin .
Mungkin .	kamu dan mel gordon?
kamu dan mel gordon?	bisa jadi .
bagaimana kabarmu wade?	aku baik-baik saja.
apa terburu-buru ?	kecelakaan berburu. jack dan twombley.
kecelakaan berburu. jack dan twombley.	Hah ?
Hah ?	Saya pikir Anda sudah mendengarnya.
menantunya hampir saja membunuhku.	Hah ?
Anda tidak ingin gaji polisi tambahan?	Saya tidak mengatakan itu.
ya banyak.	lihat. ambil sepatu bootmu.
lihat. ambil sepatu bootmu.	hai sayang.
kita harus bicara.	Kita sudah selesai bicara.
Kita sudah selesai bicara.	itu hanya...
Ya .	Dia sudah tumbuh dewasa bukan?
lilian !	dimana jill?
apakah kamu mendapatkan nomornya?	aku tahu siapa itu.
aku tahu siapa itu.	bagus. siapa?
bagus. siapa?	mel gordon.
mel gordon.	aku masih belum mengerti
ini gila.	mengarungi.
aneh .	menurut kamu mereka baik-baik saja?
menurut kamu mereka baik-baik saja?	Tentu saja! Aku akan mendengarnya.
Tentu saja! Aku akan mendengarnya.	Bagaimana ?
Bagaimana ?	Demi Tuhan, aku tidak tahu!
Baiklah. Aku akan memikirkannya.	Bagus .
uang .	Jack tidak butuh uang.
telepon saya .	Malam ini. Mari kita berkumpul.
Malam ini. Mari kita berkumpul.	Oke .
kamu tidak bermaksud begitu.	Ya. Maksudku itu.
kamu baik-baik saja?	Ya .
Ya .	Saya minta maaf atas apa yang saya katakan.
Saya minta maaf atas apa yang saya katakan.	mengatakan apa?
lupakan .	saya minta maaf .
mungkin sampai jumpa besok.	kamu baik-baik saja?
kamu baik-baik saja?	Ya .
topi baru? jill sudah bangun aku lihat.	untuk sementara.
untuk sementara.	Bagaimana kabarnya?
Bagaimana kabarnya?	Oke. Dia baik-baik saja.
itu membuatku sedih.	Bisa ?
ada tungku.	Anda tidak menggunakannya hari ini?
kantornya. maksudmu kantorku yang lama.	Baiklah, kukira itu yang dia katakan.
Baiklah, kukira itu yang dia katakan.	dia sudah dapat rusa nya ?
dongkrak ?	orang lainnya .
itu tidak terlihat benar.	Apa ?
cinta! aku terbuat dari cinta!	Sebut saja apa pun yang Anda inginkan.
Sebut saja apa pun yang Anda inginkan.	semua yang kamu tahu adalah dariku.
semua yang kamu tahu adalah dariku.	Ya .
Ya .	bang !
bang !	kamu dan aku .
apakah ada yang salah dengan teleponnya?	di ruang tamu.
dimana ibu ?	dia datang.
Tidak ada apa-apa .	Kamu anak anjing yang tidak baik!
lakukan saja .	ayo pergi.
yang ?	Bahwa itu bukan suatu kecelakaan.
Bahwa itu bukan suatu kecelakaan.	lalu siapa yang menembaknya?
motif. Anda harus punya motif.	uang .
bagaimana dengan margie?	Bagaimana dengan dia ?
Bagaimana dengan dia ?	baiklah, apakah kamu masih berencana untuk menikah?
Tidak, terima kasih. Saya tidak minum.	ya. aku lupa.
ya kurasa begitu.	tidurlah.
lillian ada di sini. di lawford.	Hah ?
Hah ?	malam sebelum penembakan.
malam sebelum penembakan.	bagaimana kabarnya dia ?
WHO ?	duambley .
duambley .	tidak apa-apa.
tidak apa-apa.	kamu pikir Jack yang menembaknya?
kamu pikir Jack yang menembaknya?	Ya, itu adalah sebuah kecelakaan.
Mama ?	Ya, sayang ?
ada anak yang menggodamu?	Itu bukan inti persoalannya.
...kembali	Ibu, kali ini saja, biarkan saja.
Saya yakin dia sibuk.	kamu bahkan tidak ingin bertanya?
yah, kamu bukan presiden sayang.	ya tidak, duh.
Itu mereka!	Oke, saya akan memperlambat kita.
Apa kabar sayang?	sudah lebih baik ayah...kamu?
ayah . . .	alice . . . aku . . .
alice !	ayah . . .
itu adalah pengalaman seumur hidup.	bagaimana dengan pelukan untuk lelaki tua itu.
apakah Anda melihat panel pemeliharaan?	mengerti .
mengerti .	tetap tenang.
siapa yang menerbangkan pesawat sialan itu?	Saya melakukan apa yang saya bisa.
kamu membaca pikiranku.	pasang pilotmu.
pasang pilotmu.	dia sibuk menjadi orang mati.
Ketua Mahkamah Agung? Untuk apa?	untuk melantik Anda sebagai presiden.
ya tuan presiden.	Mengapa ?
Mengapa ?	karena itu adalah tugasku.
sisa dinas rahasia?	mati .
mati .	berapa banyak lagi yang terbunuh?
berapa banyak lagi yang terbunuh?	sembilan .
sembilan .	salah satu dari kita?
Kamu mengarahkan pistol ke arahku.	bagus sekali. terima kasih ibu mitchell.
Tolong beritahu aku namamu.	maria . . maria mitchell .
empat . . .	... tidak
... tidak	tiga . . .
TIDAK .	katakan sesuatu sayang.
apakah kamu harus sebrutal itu?	Ya
Ya	Mengapa? Apakah kamu menikmatinya?
apa yang kamu ketahui tentang suamiku?	aku tahu dia meninggalkanmu.
sekarang atau dia mati saja.	Ayo alice.
berhenti .	kamu akan melakukannya?
Tuan, kami tetap bersama presiden.	itu tidak perlu.
Aku tidak akan pergi tanpa keluargaku.	ya pak.
Apa yang sedang kamu lakukan ?	menerbangkan pesawat.
kamu tahu apa ?	Apa ?
Apa ?	aku merindukanmu. dan aku merindukannya.
bolehkah saya bicara dengan anda sebentar?	tidak bisakah menunggu?
tidak bisakah menunggu?	Tidak, Tuan Presiden. Itu tidak bisa.
Seseorang seharusnya memberimu kenaikan gaji.	sebenarnya tuan, anda bisa jadi orang itu.
kemana kita mengirimkannya?	situasi ruang rumah putih.
mesin faks.	Permisi ?
Permisi ?	mesin faks.
satu .	Tetapi . . .
Tetapi . . .	dua . ​​. . tiga . mulai !
apa yang sedang terjadi ?	kita sedang diserang.
kita sedang diserang.	dimana keluargaku?
dimana keluargaku?	Kami sedang menanganinya, Pak.
siapa yang bisa saya katakan sedang menelepon?	ini adalah presiden.
ini adalah presiden.	Ya benar.
irak tuan. kita sudah di irak.	irak? shep kamu dipecat.
kamu membuatku sakit bisul.	Itu pekerjaanku.
lupakan saja. aku sedang membaca.	aku juga sedang membaca.
aku juga sedang membaca.	apa ceritanya ?
Apa ?	Saya hanya berharap sesederhana itu.
apakah kamu merasakannya?	ya, saya melakukannya. . .
Pak ?	lebih baik kamu terima ini.
mengatur !	Sekarang !
Sekarang !	hitung !
apakah kamu takut ?	tidak saat aku bersamamu, Ted.
Ted, kita hanya punya sepuluh menit.	tidak sekarang elaine.
tidak sekarang elaine.	Maksudku sampai kita mulai terbakar.
Bagus!	sayang !
sayang !	elaine apa yang terjadi?
elaine apa yang terjadi?	Tidak ada waktu untuk menjelaskan.
Saya tidak pernah menggunakan kata Ted gila.	kata apa yang akan kamu gunakan, elaine?
ted .	jangan sekarang elaine!
jangan sekarang elaine!	sayang !
ted kita berangkat!	biarkan aku lewat, elaine.
ted ada apa ?	tanya simon .
itu harus dihentikan!	tetapi undangannya sudah tersebar.
Bahasa Indonesia: elaine.	untuk . . . !
Mungkin .	simon apa yang kamu katakan ?!
apakah kamu sudah menyelesaikannya sekarang?	saya kira demikian .
saya kira demikian .	Itu gadisku.
Frank adalah pilot terbaik dalam program tersebut.	aku sangat bersemangat simon.
aku sangat bersemangat simon.	Saya rasa ini yang pertama bagi Anda.
Saya rasa ini yang pertama bagi Anda.	tidak, aku pernah bersemangat sebelumnya.
oke.	Anda bisa melakukannya dari atas sini kapten.
teruskan .	kamu memiliki payudara yang besar.
negatif.	Itu tidak masuk akal. Ulangi analisisnya.
Itu tidak masuk akal. Ulangi analisisnya.	negatif.
negatif.	itu tidak mungkin.
bisakah aku menggendongnya?	Tentu .
Tentu .	dia seekor anjing jantan.
dia seekor anjing jantan.	Ya .
baiklah. di sini.	Apa . . . ?
kamu yakin ?	saya yakin.
enam belas c kenapa?	dia membawa bom.
dia membawa bom.	sebuah b . . .
kapten oveur?	Tuan Kurtz, saya berasumsi.
kamu tidak bisa masuk ke sana!	jangan mencoba menghentikanku!
saya harus menonton bud kruger.	apakah Anda punya janji, tuan?
ah, kamu tidak mau duduk?	terima kasih. krim ?
tidak bisakah kamu menebak?	baiklah...tidak sampai dua jam ke depan.
Kapten, seberapa cepat kita bisa mendarat?	saya tidak bisa mengatakannya.
apa yang dia miliki ?	dia punya ikan.
lihat mereka elaine?	Wahh.
sayang . . .	Ya ?
tikus! aku kehilangan nomor tiga.	Apa yang terjadi Ted? Apa yang salah?
hujan .	dan sedikit es.
dan sedikit es.	dan sedikit es!
Anda mendapat telegram dari kantor pusat hari ini.	kantor pusat! ? apa itu ?
aku cinta kamu elaine.	aku mencintaimu .
Ted, apa yang kamu lakukan di sini?	Elaine, aku harus bicara padamu.
Bagus!	sayang !
kami kedatangan tamu.	Halo .
tagihan! tagihan! selamat tinggal tagihan.	selamat tinggal sayang.
kamu berjanji akan menulis.	setiap hari .
Oh, aku tak tahan lagi.	apa itu ?
Hai !	aku randy
Oh, aku ingin sekali.	oke ini salah satu favoritku.
oke.	Hah ?
oke.	Hah ?
permisi kakak ?	Ya ?
kamu baik-baik saja?	Ya . . .
disana .	Tunjukkan padaku .
kamu cassandra?	itu benar .
william harcourt ?	Ya . . .
bunuh mereka berdua.	Di Sini ?
Di Sini ?	lakukanlah !
ini menjadi pelanggaran keamanan yang serius.	dia tidak mengenali saya.
bagaimana penampilanku?	Kamu terlihat sangat baik.
apa ini ? !	...itu harcourt.
...itu harcourt.	harcourt sudah meninggal.
tidak! kita harus melakukan ini sendiri.	melakukan apa ?! george ?!
kita ? kamu sudah mengambilnya ?	kita semua melakukannya.
tentang apa tadi ?	Tidak ada apa-apa .
hentikan mobilnya.	Mengapa ?
Mengapa ?	tolong, aku harus keluar dari sini.
baiklah mari kita lanjutkan george.	ke... ke pantai?
ya...aku tahu rutinitasnya.	kamu sudah menikah ?
kamu sudah menikah ?	sudah . bercerai .
siapa dia ?	todd watson. asisten manajer.
matthew kamu tidak perlu melakukan itu.	mundurlah! aku baik-baik saja.
Beri tahu saya .	ibumu kawin di luar musim.
persetan denganmu.	Persetan denganku? Itu tidak mungkin benar.
Eh Matius ...	mundur george.
mundur george.	tapi aku
tapi aku	Aku akan menanganinya.
siapa yang bilang ?	di akhir bar.
kenapa kamu melakukannya ?	kenapa aku melakukan apa?
mengerti gambarnya?	dan itu cocok?
apa ini? apa yang sedang terjadi?	Tidak ada apa-apa .
Tidak ada apa-apa .	Tidak ada apa-apa ?
Keluar dari sana !	Aku tidak bisa! Kamu keberatan!
apakah itu terlihat mencurigakan bagi Anda?	apa yang memberimu ide itu?
pergerakan !	posisi ?
posisi ?	tidak bisa dikunci...
tidak bisa dikunci...	bicara padaku hudson.
bicara padaku hudson.	uh tampaknya ada di depan dan di belakang.
kamu melakukannya dengan baik, uskup.	baiklah terima kasih aku
berapa banyak waktu ?	banyak! dua puluh enam menit!
banyak! dua puluh enam menit!	kami tidak akan pergi!
aku akan pergi.	Apa ?
kamu bangsat .	jangan buat aku menarik pangkat ripley.
tidak. tidak mungkin!	Dengarkan aku...
masih belum ada kabar dari koloni?	mati di semua saluran.
Saya suruh mereka mundur. . .	mereka pergi saja! lakukan sesuatu!
apa itu ?	aku tidak tahu .
aku tidak tahu .	lanjutkan ke dalam .
Pak ?	ya hicks?
ya hicks?	Tuan Hudson. Dia orang Hicks.
Tuan Hudson. Dia orang Hicks.	apa pertanyaannya ?
ayo pergi ! ayo pergi !	sialan !
Wah, Anda tidak membacanya dengan benar!	enam meter. lima. apaan nih
tujuh belas meter.	mari kita nyalakan benda-benda ini.
sudut! siap?	lakukanlah !
ayo kita keluar dari sini!	bukan terowongan itu tapi yang satunya!
simpan itu .	Tentu saja hicks.
ellen , ibu kota	jangan lama-lama ellen
Hicks tidak membiarkan dia pergi.	kita tidak akan pergi kemana pun.
terkunci.	mundur .
mereka akan menangkap kita.	mungkin . mungkin tidak .
mereka berada di koridor pendekatan.	dalam perjalanan .
itu di dalam kompleks.	Anda hanya membaca saya.
Persetan denganmu.	Kapan saja. Di mana saja.
jangkauan dua puluh meter.	tutup pintunya.
terima kasih .	eh apa selanjutnya?
dan bagaimana keadaan kita saat ini?	sangat buruk .
apakah kita akan tidur sekarang?	itu benar .
itu benar .	bisakah kita bermimpi?
bisakah kita bermimpi?	ya sayang. aku pikir kita berdua bisa.
burke! buka pintunya!	Lihat !
tidak, itu berbeda sayang.	apakah kamu pernah punya bayi?
apakah kamu pernah punya bayi?	ya. seorang gadis kecil.
ya. seorang gadis kecil.	dimana dia ?
dimana dia ?	hilang .
hilang .	maksudmu mati.
ya ada, tidak ada.	mengapa mereka menceritakan hal itu kepada anak kecil?
kamu berjanji?	menyilangkan hatiku.
menyilangkan hatiku.	dan berharap untuk mati?
aku tidak menginginkanmu sebagai teman.	mengapa tidak ?
casey. dia satu-satunya temanku.	Bagaimana dengan saya ?
enam puluh mungkin tujuh puluh keluarga.	Yesus yang manis.
Yang Mulia sangat marah padamu.	Apa maksudmu ?
Bagaimana kabarku? Katakan sejujurnya padaku.	Kamu sungguh hebat.
Kamu sungguh hebat.	apa pendapatmu tentang musiknya?
apa pendapatmu tentang musiknya?	sangat pintar.
sangat pintar.	berarti Anda tidak menyukainya.
Tahukah kamu? Pernahkah kamu mendengarnya?	Apa ?
Apa ?	pernikahan!
pernikahan!	baiklah, apa pentingnya bagimu?
seperti apa rupa dia ?	Anda mungkin kecewa.
Anda mungkin kecewa.	Mengapa ?
Baiklah, saya dengar Anda bertemu Herr Mozart.	Oh? Berita menyebar dengan cepat di Wina.
Ya .	apakah ada bagian untuk saya?
apakah ada bagian untuk saya?	TIDAK .
TIDAK .	bagaimana kamu tahu ?
Di mana ?	di harem.
di harem.	apa itu ?
apa itu ?	sebuah rumah bordil
sebuah rumah bordil	Oh !
apakah dia orang yang baik untuk bercinta?	Apa ? ?
Oh, permisi!	Apakah ibunya masih tergeletak di lantai?
Apakah ibunya masih tergeletak di lantai?	tidak, dia baik-baik saja.
tidak, dia baik-baik saja.	saya sangat lega.
jangan repot-repot!	Apa ?
Apa ?	jangan repot-repot.
jangan repot-repot.	aku akan segera kembali.
apa itu ?	saya ingin pergi !
saya ingin pergi !	Di mana ?
Di mana ?	saya ingin kembali ke Wina.
saya ingin kembali ke Wina.	Sekarang ?
Sekarang ?	Ya !
Ya !	Mengapa ?
berikan saya satu alasan yang dapat saya mengerti.	saya tidak bisa menulisnya!
saya tidak bisa menulisnya!	mengapa tidak ?
mengapa tidak ?	Itu membunuhku.
tidak. jangan menjawabnya!	Mengapa ?
aku tidak memberitahumu.	mengapa tidak ?
mengapa tidak ?	kamu pasti pikir aku gila.
siapa itu ?	tidak seorang pun.
tidak seorang pun.	saya mendengar suara-suara.
kamu tidak akan melakukan ini?	Kenapa tidak? Setengah rumah!
serigala .	Ya, sayangku ?
wolfi! ayahmu sudah meninggal.	Apa ?
Apa ?	Ayahmu sudah meninggal.
Ada seorang gadis muda yang ingin menemuimu.	apa yang dia inginkan ?
apa yang dia inginkan ?	aku tidak tahu .
aku tidak tahu .	baiklah tanyakan padanya!
ada apa denganmu ?	suruh mereka pergi!
suruh mereka pergi!	sssh. ada apa? katakan padaku.
sssh. ada apa? katakan padaku.	TIDAK !
TIDAK !	Ya !
Ya !	aku sayang kamu aku cinta kamu !
kamu meminjam uang dari ibumu?	Ya !
Ya !	baiklah, jangan lakukan itu lagi!
tish aku tee. apa itu?	Apa ?
Apa ?	tish aku tee.
tish aku tee.	makan
makan	Ya .
Ya .	makan ah milikku!
tidak, saya tidak memainkan game ini.	Tidak, ini serius. Katakan secara terbalik.
Tidak, ini serius. Katakan secara terbalik.	TIDAK !
itu bodoh.	mengapa ? orang kentut terbalik.
mengapa ? orang kentut terbalik.	apakah menurutmu itu lucu?
